brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2024-02-29T12:02:22.020000+00:00,1,12,1229,8,10999,9465,310,100
0,2024-02-29T12:03:15.500000+00:00,1,12,1229,8,10761,9465,302,100
0,2024-02-29T12:08:55.540000+00:00,1,12,1229,8,10652,9465,300,100
0,2024-02-29T11:45:16.657000+00:00,1,12,1229,8,10956,9465,314,45
0,2024-02-29T11:45:12.096000+00:00,1,12,1229,8,10658,9465,301,100
0,2024-02-29T11:45:12.896000+00:00,1,12,1229,8,10886,9465,307,100
0,2024-02-29T11:45:31.256000+00:00,1,12,1229,8,10628,9465,300,100
0,2024-02-29T11:45:14.936000+00:00,1,12,1229,8,11039,9465,311,100
0,2024-02-29T11:46:08.097000+00:00,1,12,1229,8,10668,9465,300,100
0,2024-02-29T12:02:20.299000+00:00,1,12,1229,8,10797,9465,305,100
0,2024-02-29T12:30:08.745000+00:00,2,12,1229,8,10740,9465,301,100
100,2024-02-29T11:41:24.495000+00:00,2,12,1229,8,11052,9465,314,100
0,2024-02-29T12:21:46.144000+00:00,2,12,1229,8,10914,9465,305,100
100,2024-02-29T12:15:24.983000+00:00,2,8,1229,8,10656,9465,303,0
0,2024-02-29T11:46:00.296000+00:00,2,12,1229,8,10867,9465,302,100
0,2024-02-29T12:17:13.742000+00:00,2,12,1229,8,11006,9465,309,100
0,2024-02-29T12:15:19.862000+00:00,2,12,1229,8,10634,9465,300,100
0,2024-02-29T11:45:04.096000+00:00,2,12,1229,8,11048,9465,310,100
0,2024-02-29T11:45:02.256000+00:00,2,12,1229,8,10837,9465,303,100
0,2024-02-29T11:45:04.376000+00:00,2,12,1229,8,11101,9465,310,100
0,2024-02-29T12:23:26.984000+00:00,3,8,1229,8,10698,9465,301,100
0,2024-02-29T11:45:05.096000+00:00,3,12,1229,8,10818,9465,302,100
0,2024-02-29T11:48:26.657000+00:00,3,12,1229,8,10928,9465,310,100
0,2024-02-29T11:40:22.495000+00:00,3,12,1229,8,10831,9465,306,100
0,2024-02-29T11:40:24.415000+00:00,3,12,1229,8,10994,9465,310,100
0,2024-02-29T12:23:27.264000+00:00,3,8,1229,8,10441,9465,300,29
0,2024-02-29T12:04:43.300000+00:00,3,12,1229,8,10675,9465,300,100
0,2024-02-29T11:40:22.335000+00:00,3,12,1229,8,10806,9465,306,100
0,2024-02-29T11:34:06.614000+00:00,3,12,1229,8,10703,9465,301,100
0,2024-02-29T11:34:09.694000+00:00,3,12,1229,8,10795,9465,306,100
0,2024-02-29T12:21:07.544000+00:00,4,14,1229,8,11124,9465,316,98
