season,round,raceName,circuitName,locality,country,date,time,url
1950,1,British Grand Prix,Silverstone Circuit,Silverstone,UK,1950-05-13,,http://en.wikipedia.org/wiki/1950_British_Grand_Prix
1950,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1950-05-21,,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix
1950,3,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1950-05-30,,http://en.wikipedia.org/wiki/1950_Indianapolis_500
1950,4,Swiss Grand Prix,Circuit Bremgarten,Bern,Switzerland,1950-06-04,,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix
1950,5,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1950-06-18,,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix
1950,6,French Grand Prix,Reims-Gueux,Reims,France,1950-07-02,,http://en.wikipedia.org/wiki/1950_French_Grand_Prix
1950,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1950-09-03,,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix
1951,1,Swiss Grand Prix,Circuit Bremgarten,Bern,Switzerland,1951-05-27,,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix
1951,2,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1951-05-30,,http://en.wikipedia.org/wiki/1951_Indianapolis_500
1951,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1951-06-17,,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix
1951,4,French Grand Prix,Reims-Gueux,Reims,France,1951-07-01,,http://en.wikipedia.org/wiki/1951_French_Grand_Prix
1951,5,British Grand Prix,Silverstone Circuit,Silverstone,UK,1951-07-14,,http://en.wikipedia.org/wiki/1951_British_Grand_Prix
1951,6,German Grand Prix,Nürburgring,Nürburg,Germany,1951-07-29,,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
1951,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1951-09-16,,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix
1951,8,Spanish Grand Prix,Circuit de Pedralbes,Barcelona,Spain,1951-10-28,,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
1952,1,Swiss Grand Prix,Circuit Bremgarten,Bern,Switzerland,1952-05-18,,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix
1952,2,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1952-05-30,,http://en.wikipedia.org/wiki/1952_Indianapolis_500
1952,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1952-06-22,,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix
1952,4,French Grand Prix,Rouen-Les-Essarts,Rouen,France,1952-07-06,,http://en.wikipedia.org/wiki/1952_French_Grand_Prix
1952,5,British Grand Prix,Silverstone Circuit,Silverstone,UK,1952-07-19,,http://en.wikipedia.org/wiki/1952_British_Grand_Prix
1952,6,German Grand Prix,Nürburgring,Nürburg,Germany,1952-08-03,,http://en.wikipedia.org/wiki/1952_German_Grand_Prix
1952,7,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1952-08-17,,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix
1952,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1952-09-07,,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix
1953,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1953-01-18,,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix
1953,2,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1953-05-30,,http://en.wikipedia.org/wiki/1953_Indianapolis_500
1953,3,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1953-06-07,,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix
1953,4,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1953-06-21,,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix
1953,5,French Grand Prix,Reims-Gueux,Reims,France,1953-07-05,,http://en.wikipedia.org/wiki/1953_French_Grand_Prix
1953,6,British Grand Prix,Silverstone Circuit,Silverstone,UK,1953-07-18,,http://en.wikipedia.org/wiki/1953_British_Grand_Prix
1953,7,German Grand Prix,Nürburgring,Nürburg,Germany,1953-08-02,,http://en.wikipedia.org/wiki/1953_German_Grand_Prix
1953,8,Swiss Grand Prix,Circuit Bremgarten,Bern,Switzerland,1953-08-23,,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix
1953,9,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1953-09-13,,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix
1954,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1954-01-17,,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix
1954,2,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1954-05-31,,http://en.wikipedia.org/wiki/1954_Indianapolis_500
1954,3,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1954-06-20,,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix
1954,4,French Grand Prix,Reims-Gueux,Reims,France,1954-07-04,,http://en.wikipedia.org/wiki/1954_French_Grand_Prix
1954,5,British Grand Prix,Silverstone Circuit,Silverstone,UK,1954-07-17,,http://en.wikipedia.org/wiki/1954_British_Grand_Prix
1954,6,German Grand Prix,Nürburgring,Nürburg,Germany,1954-08-01,,http://en.wikipedia.org/wiki/1954_German_Grand_Prix
1954,7,Swiss Grand Prix,Circuit Bremgarten,Bern,Switzerland,1954-08-22,,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix
1954,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1954-09-05,,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix
1954,9,Spanish Grand Prix,Circuit de Pedralbes,Barcelona,Spain,1954-10-24,,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix
1955,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1955-01-16,,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix
1955,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1955-05-22,,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix
1955,3,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1955-05-30,,http://en.wikipedia.org/wiki/1955_Indianapolis_500
1955,4,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1955-06-05,,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
1955,5,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,1955-06-19,,http://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix
1955,6,British Grand Prix,Aintree,Liverpool,UK,1955-07-16,,http://en.wikipedia.org/wiki/1955_British_Grand_Prix
1955,7,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1955-09-11,,http://en.wikipedia.org/wiki/1955_Italian_Grand_Prix
1956,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1956-01-22,,http://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix
1956,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1956-05-13,,http://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix
1956,3,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1956-05-30,,http://en.wikipedia.org/wiki/1956_Indianapolis_500
1956,4,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,1956-06-03,,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
1956,5,French Grand Prix,Reims-Gueux,Reims,France,1956-07-01,,http://en.wikipedia.org/wiki/1956_French_Grand_Prix
1956,6,British Grand Prix,Silverstone Circuit,Silverstone,UK,1956-07-14,,http://en.wikipedia.org/wiki/1956_British_Grand_Prix
1956,7,German Grand Prix,Nürburgring,Nürburg,Germany,1956-08-05,,http://en.wikipedia.org/wiki/1956_German_Grand_Prix
1956,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1956-09-02,,http://en.wikipedia.org/wiki/1956_Italian_Grand_Prix
1957,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1957-01-13,,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix
1957,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1957-05-19,,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
1957,3,Indianapolis 500,Indianapolis Motor Speedway,Indianapolis,USA,1957-05-30,,http://en.wikipedia.org/wiki/1957_Indianapolis_500
1957,4,French Grand Prix,Rouen-Les-Essarts,Rouen,France,1957-07-07,,http://en.wikipedia.org/wiki/1957_French_Grand_Prix
1957,5,British Grand Prix,Aintree,Liverpool,UK,1957-07-20,,http://en.wikipedia.org/wiki/1957_British_Grand_Prix
1957,6,German Grand Prix,Nürburgring,Nürburg,Germany,1957-08-04,,http://en.wikipedia.org/wiki/1957_German_Grand_Prix
1957,7,Pescara Grand Prix,Pescara Circuit,Pescara,Italy,1957-08-18,,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix
1957,8,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,1957-09-08,,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
1958,1,Argentine Grand Prix,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,1958-01-19,,http://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix
1958,2,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,1958-05-18,,http://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix
