meeting_key,meeting_name,meeting_official_name,location,country_key,circuit_key,date_start,gmt_offset,year,meeting_code
1140,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2023,Sakhir,36,63,2023-02-23T07:00:00+00:00,03:00:00,2023,
1141,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Sakhir,36,63,2023-03-03T11:30:00+00:00,03:00:00,2023,
1142,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,Jeddah,153,149,2023-03-17T13:30:00+00:00,03:00:00,2023,
1143,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,Melbourne,5,10,2023-03-31T01:30:00+00:00,11:00:00,2023,
1207,Azerbaijan Grand Prix,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,Baku,30,144,2023-04-28T09:30:00+00:00,04:00:00,2023,
1208,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,Miami,19,151,2023-05-05T18:00:00+00:00,-04:00:00,2023,
1210,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2023,Monaco,114,22,2023-05-26T11:30:00+00:00,02:00:00,2023,
1211,Spanish Grand Prix,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,Barcelona,1,15,2023-06-02T11:30:00+00:00,02:00:00,2023,
1212,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,Montréal,46,23,2023-06-16T17:30:00+00:00,-04:00:00,2023,
1213,Austrian Grand Prix,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,Spielberg,17,19,2023-06-30T15:00:00+00:00,02:00:00,2023,AUT
1214,British Grand Prix,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,Silverstone,2,2,2023-07-07T11:30:00+00:00,01:00:00,2023,
1215,Hungarian Grand Prix,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,Budapest,14,4,2023-07-21T11:30:00+00:00,02:00:00,2023,
1216,Belgian Grand Prix,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,Spa-Francorchamps,16,7,2023-07-28T11:30:00+00:00,02:00:00,2023,
1217,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,Zandvoort,133,55,2023-08-25T10:30:00+00:00,02:00:00,2023,
1218,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023,Monza,13,39,2023-09-01T11:30:00+00:00,02:00:00,2023,
1219,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023,Marina Bay,157,61,2023-09-15T09:30:00+00:00,08:00:00,2023,
1220,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023,Suzuka,4,46,2023-09-22T02:30:00+00:00,09:00:00,2023,
1221,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,Lusail,149,150,2023-10-06T13:30:00+00:00,03:00:00,2023,
1222,United States Grand Prix,FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,Austin,19,9,2023-10-20T17:30:00+00:00,-05:00:00,2023,
1223,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,Mexico City,8,65,2023-10-27T18:30:00+00:00,-06:00:00,2023,
1224,São Paulo Grand Prix,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,São Paulo,10,14,2023-11-03T14:30:00+00:00,-03:00:00,2023,
1225,Las Vegas Grand Prix,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,Las Vegas,19,152,2023-11-17T04:30:00+00:00,-08:00:00,2023,
1226,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023,Yas Island,21,70,2023-11-24T09:30:00+00:00,04:00:00,2023,
1229,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,Sakhir,36,63,2024-02-29T11:30:00+00:00,03:00:00,2024,BRN
1230,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,Jeddah,153,149,2024-03-07T13:30:00+00:00,03:00:00,2024,KSA
1231,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,Melbourne,5,10,2024-03-22T01:30:00+00:00,11:00:00,2024,AUS
1232,Japanese Grand Prix,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,Suzuka,4,46,2024-04-05T02:30:00+00:00,09:00:00,2024,JPN
1233,Chinese Grand Prix,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,Shanghai,53,49,2024-04-19T03:30:00+00:00,08:00:00,2024,CHN
1234,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,Miami,19,151,2024-05-03T16:30:00+00:00,-04:00:00,2024,USA
1235,Emilia Romagna Grand Prix,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,Imola,13,6,2024-05-17T11:30:00+00:00,02:00:00,2024,ITA
1236,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2024,Monaco,114,22,2024-05-24T11:30:00+00:00,02:00:00,2024,MON
1237,Canadian Grand Prix,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,Montréal,46,23,2024-06-07T17:30:00+00:00,-04:00:00,2024,CAN
1238,Spanish Grand Prix,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,Barcelona,1,15,2024-06-21T11:30:00+00:00,02:00:00,2024,ESP
1239,Austrian Grand Prix,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,Spielberg,17,19,2024-06-28T10:30:00+00:00,02:00:00,2024,AUT
1240,British Grand Prix,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,Silverstone,2,2,2024-07-05T11:30:00+00:00,01:00:00,2024,GBR
1241,Hungarian Grand Prix,FORMULA 1 HUNGARIAN GRAND PRIX 2024,Budapest,14,4,2024-07-19T11:30:00+00:00,02:00:00,2024,HUN
1242,Belgian Grand Prix,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,Spa-Francorchamps,16,7,2024-07-26T11:30:00+00:00,02:00:00,2024,BEL
1243,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,Zandvoort,133,55,2024-08-23T10:30:00+00:00,02:00:00,2024,NED
1244,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,Monza,13,39,2024-08-30T11:30:00+00:00,02:00:00,2024,ITA
1245,Azerbaijan Grand Prix,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,Baku,30,144,2024-09-13T09:30:00+00:00,04:00:00,2024,AZE
1246,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,Marina Bay,157,61,2024-09-20T09:30:00+00:00,08:00:00,2024,SGP
1247,United States Grand Prix,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,Austin,19,9,2024-10-18T17:30:00+00:00,-05:00:00,2024,USA
1248,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,Mexico City,8,65,2024-10-25T18:30:00+00:00,-06:00:00,2024,MEX
1249,São Paulo Grand Prix,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,São Paulo,10,14,2024-11-01T14:30:00+00:00,-03:00:00,2024,BRA
1250,Las Vegas Grand Prix,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,Las Vegas,19,152,2024-11-22T02:30:00+00:00,-08:00:00,2024,USA
1251,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,Lusail,149,150,2024-11-29T13:30:00+00:00,03:00:00,2024,QAT
1252,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,Yas Island,21,70,2024-12-06T09:30:00+00:00,04:00:00,2024,UAE
1253,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,Sakhir,36,63,2025-02-26T07:00:00+00:00,03:00:00,2025,BRN
1254,Australian Grand Prix,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,5,10,2025-03-14T01:30:00+00:00,11:00:00,2025,AUS
