pit_duration,lap_number,driver_number,date,session_key,meeting_key
35.3,3.0,14,2023-06-02T11:33:46.930000+00:00,9095,1211
40.8,4.0,18,2023-06-02T11:35:42.475000+00:00,9095,1211
155.2,3.0,21,2023-06-02T11:36:30.849000+00:00,9095,1211
277.0,2.0,2,2023-06-02T11:37:01.583000+00:00,9095,1211
27.6,5.0,16,2023-06-02T11:37:14.911000+00:00,9095,1211
343.6,2.0,81,2023-06-02T11:38:29.675000+00:00,9095,1211
24.9,6.0,11,2023-06-02T11:38:45.487000+00:00,9095,1211
47.4,6.0,20,2023-06-02T11:38:52.971000+00:00,9095,1211
381.5,2.0,4,2023-06-02T11:39:12.221000+00:00,9095,1211
23.5,6.0,1,2023-06-02T11:39:27.565000+00:00,9095,1211
40.8,6.0,27,2023-06-02T11:40:30.892000+00:00,9095,1211
517.4,3.0,77,2023-06-02T11:42:01.109000+00:00,9095,1211
298.0,5.0,18,2023-06-02T11:42:31.499000+00:00,9095,1211
25.1,9.0,23,2023-06-02T11:44:30.700000+00:00,9095,1211
623.1,3.0,24,2023-06-02T11:44:35.747000+00:00,9095,1211
245.8,8.0,22,2023-06-02T11:45:19.886000+00:00,9095,1211
23.1,11.0,16,2023-06-02T11:46:04.573000+00:00,9095,1211
23.0,12.0,55,2023-06-02T11:46:46.322000+00:00,9095,1211
439.9,5.0,21,2023-06-02T11:47:17.353000+00:00,9095,1211
24.9,9.0,2,2023-06-02T11:47:42.243000+00:00,9095,1211
442.9,3.0,4,2023-06-02T11:48:07.633000+00:00,9095,1211
37.9,8.0,18,2023-06-02T11:48:09.118000+00:00,9095,1211
381.4,9.0,63,2023-06-02T11:48:16.852000+00:00,9095,1211
493.4,3.0,81,2023-06-02T11:48:30.789000+00:00,9095,1211
406.5,9.0,44,2023-06-02T11:49:32.132000+00:00,9095,1211
691.0,6.0,14,2023-06-02T11:50:06.022000+00:00,9095,1211
621.4,8.0,10,2023-06-02T11:50:55.709000+00:00,9095,1211
357.9,10.0,31,2023-06-02T11:51:06.771000+00:00,9095,1211
31.1,8.0,21,2023-06-02T11:52:23.176000+00:00,9095,1211
34.1,11.0,18,2023-06-02T11:53:37.034000+00:00,9095,1211
16.7,16.0,16,2023-06-02T11:54:55.704000+00:00,9095,1211
432.8,13.0,11,2023-06-02T11:57:15.577000+00:00,9095,1211
525.5,12.0,1,2023-06-02T11:58:09.107000+00:00,9095,1211
189.2,12.0,18,2023-06-02T11:58:39.294000+00:00,9095,1211
796.1,11.0,20,2023-06-02T11:59:17.465000+00:00,9095,1211
750.0,11.0,27,2023-06-02T12:00:14.823000+00:00,9095,1211
657.3,13.0,22,2023-06-02T12:03:58.460000+00:00,9095,1211
268.9,17.0,63,2023-06-02T12:04:07.147000+00:00,9095,1211
578.4,16.0,23,2023-06-02T12:05:15.099000+00:00,9095,1211
333.2,17.0,44,2023-06-02T12:06:24.301000+00:00,9095,1211
544.3,16.0,2,2023-06-02T12:07:19.597000+00:00,9095,1211
702.5,12.0,77,2023-06-02T12:07:29.378000+00:00,9095,1211
376.1,14.0,24,2023-06-02T12:07:32.425000+00:00,9095,1211
387.1,15.0,1,2023-06-02T12:09:03.970000+00:00,9095,1211
575.4,10.0,81,2023-06-02T12:09:09.782000+00:00,9095,1211
26.8,19.0,23,2023-06-02T12:10:35.718000+00:00,9095,1211
675.0,10.0,4,2023-06-02T12:10:47.171000+00:00,9095,1211
999.9,17.0,55,2023-06-02T12:11:24.014000+00:00,9095,1211
18.0,17.0,24,2023-06-02T12:12:49.669000+00:00,9095,1211
797.7,19.0,16,2023-06-02T12:13:11.684000+00:00,9095,1211
