season,url
1950,http://en.wikipedia.org/wiki/1950_Formula_One_season
1951,http://en.wikipedia.org/wiki/1951_Formula_One_season
1952,http://en.wikipedia.org/wiki/1952_Formula_One_season
1953,http://en.wikipedia.org/wiki/1953_Formula_One_season
1954,http://en.wikipedia.org/wiki/1954_Formula_One_season
1955,http://en.wikipedia.org/wiki/1955_Formula_One_season
1956,http://en.wikipedia.org/wiki/1956_Formula_One_season
1957,http://en.wikipedia.org/wiki/1957_Formula_One_season
1958,http://en.wikipedia.org/wiki/1958_Formula_One_season
1959,http://en.wikipedia.org/wiki/1959_Formula_One_season
1960,http://en.wikipedia.org/wiki/1960_Formula_One_season
1961,http://en.wikipedia.org/wiki/1961_Formula_One_season
1962,http://en.wikipedia.org/wiki/1962_Formula_One_season
1963,http://en.wikipedia.org/wiki/1963_Formula_One_season
1964,http://en.wikipedia.org/wiki/1964_Formula_One_season
1965,http://en.wikipedia.org/wiki/1965_Formula_One_season
1966,http://en.wikipedia.org/wiki/1966_Formula_One_season
1967,http://en.wikipedia.org/wiki/1967_Formula_One_season
1968,http://en.wikipedia.org/wiki/1968_Formula_One_season
1969,http://en.wikipedia.org/wiki/1969_Formula_One_season
1970,http://en.wikipedia.org/wiki/1970_Formula_One_season
1971,http://en.wikipedia.org/wiki/1971_Formula_One_season
1972,http://en.wikipedia.org/wiki/1972_Formula_One_season
1973,http://en.wikipedia.org/wiki/1973_Formula_One_season
1974,http://en.wikipedia.org/wiki/1974_Formula_One_season
1975,http://en.wikipedia.org/wiki/1975_Formula_One_season
1976,http://en.wikipedia.org/wiki/1976_Formula_One_season
1977,http://en.wikipedia.org/wiki/1977_Formula_One_season
1978,http://en.wikipedia.org/wiki/1978_Formula_One_season
1979,http://en.wikipedia.org/wiki/1979_Formula_One_season
