session_key,location,session_type,session_name,date_start,date_end,gmt_offset,meeting_key,year,country_key,circuit_key
9222,Sakhir,Practice,Practice 1,2023-02-23T07:00:00+00:00,2023-02-23T16:30:00+00:00,03:00:00,1140,2023,36,63
7763,Sakhir,Practice,Practice 2,2023-02-24T07:00:00+00:00,2023-02-24T16:30:00+00:00,03:00:00,1140,2023,36,63
7764,Sakhir,Practice,Practice 3,2023-02-25T07:00:00+00:00,2023-02-25T16:30:00+00:00,03:00:00,1140,2023,36,63
7765,Sakhir,Practice,Practice 1,2023-03-03T11:30:00+00:00,2023-03-03T12:30:00+00:00,03:00:00,1141,2023,36,63
7766,Sakhir,Practice,Practice 2,2023-03-03T15:00:00+00:00,2023-03-03T16:00:00+00:00,03:00:00,1141,2023,36,63
7767,Sakhir,Practice,Practice 3,2023-03-04T11:30:00+00:00,2023-03-04T12:30:00+00:00,03:00:00,1141,2023,36,63
7768,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,03:00:00,1141,2023,36,63
7953,Sakhir,Race,Race,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00,03:00:00,1141,2023,36,63
7772,Jeddah,Practice,Practice 1,2023-03-17T13:30:00+00:00,2023-03-17T14:30:00+00:00,03:00:00,1142,2023,153,149
7773,Jeddah,Practice,Practice 2,2023-03-17T17:00:00+00:00,2023-03-17T18:00:00+00:00,03:00:00,1142,2023,153,149
7774,Jeddah,Practice,Practice 3,2023-03-18T13:30:00+00:00,2023-03-18T14:30:00+00:00,03:00:00,1142,2023,153,149
7775,Jeddah,Qualifying,Qualifying,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,03:00:00,1142,2023,153,149
7779,Jeddah,Race,Race,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00,03:00:00,1142,2023,153,149
7780,Melbourne,Practice,Practice 1,2023-03-31T01:30:00+00:00,2023-03-31T02:30:00+00:00,11:00:00,1143,2023,5,10
