meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1140,7763,1,4.0,1,1,MEDIUM,7.0
1140,7763,1,20.0,1,1,MEDIUM,10.0
1140,7763,1,2.0,1,2,SOFT,15.0
1140,7763,1,24.0,1,2,MEDIUM,10.0
1140,7763,1,14.0,1,2,MEDIUM,0.0
1140,7763,1,11.0,1,3,TEST_UNKNOWN,0.0
1140,7763,1,16.0,1,3,MEDIUM,0.0
1140,7763,1,22.0,1,3,MEDIUM,12.0
1140,7763,1,63.0,1,3,MEDIUM,11.0
1140,7763,1,31.0,1,4,MEDIUM,5.0
1140,7763,1,81.0,1,4,MEDIUM,0.0
1140,7763,1,55.0,1,5,TEST_UNKNOWN,11.0
1140,7763,1,1.0,1,6,TEST_UNKNOWN,0.0
1140,7763,1,21.0,1,6,MEDIUM,8.0
1140,7763,1,44.0,1,6,MEDIUM,6.0
1140,7763,1,10.0,1,7,MEDIUM,0.0
1140,7763,1,27.0,1,7,MEDIUM,0.0
1140,7763,2,4.0,2,2,MEDIUM,8.0
1140,7763,2,20.0,2,8,MEDIUM,0.0
1140,7763,3,4.0,3,3,MEDIUM,9.0
1140,7763,2,14.0,3,4,MEDIUM,0.0
1140,7763,2,24.0,3,4,MEDIUM,12.0
1140,7763,2,2.0,3,4,SOFT,7.0
1140,7763,4,4.0,4,5,MEDIUM,0.0
1140,7763,2,16.0,4,5,MEDIUM,0.0
1140,7763,2,22.0,4,6,MEDIUM,15.0
1140,7763,2,11.0,4,6,TEST_UNKNOWN,3.0
1140,7763,2,63.0,4,6,MEDIUM,14.0
1140,7763,3,2.0,5,6,SOFT,0.0
1140,7763,2,31.0,5,7,MEDIUM,9.0
1140,7763,3,14.0,5,8,MEDIUM,8.0
1140,7763,3,24.0,5,11,MEDIUM,9.0
1140,7763,2,81.0,5,13,MEDIUM,0.0
1140,7763,2,55.0,6,8,MEDIUM,10.0
1140,7763,3,16.0,6,9,MEDIUM,0.0
1140,7763,5,4.0,6,14,MEDIUM,0.0
1140,7763,4,2.0,7,8,SOFT,17.0
1140,7763,3,22.0,7,9,MEDIUM,18.0
1140,7763,3,11.0,7,9,TEST_UNKNOWN,6.0
1140,7763,2,1.0,7,9,MEDIUM,0.0
1140,7763,2,44.0,7,11,MEDIUM,12.0
1140,7763,3,63.0,7,11,MEDIUM,0.0
1140,7763,2,21.0,7,21,MEDIUM,0.0
1140,7763,2,10.0,8,8,MEDIUM,7.0
1140,7763,3,31.0,8,14,MEDIUM,0.0
1140,7763,2,27.0,8,14,MEDIUM,0.0
1140,7763,3,55.0,9,10,MEDIUM,0.0
1140,7763,4,14.0,9,12,MEDIUM,12.0
1140,7763,3,10.0,9,13,TEST_UNKNOWN,0.0
1140,7763,3,20.0,9,15,MEDIUM,0.0
1140,7763,5,2.0,9,15,MEDIUM,0.0
1140,7763,4,22.0,10,10,MEDIUM,0.0
1140,7763,3,1.0,10,12,MEDIUM,0.0
1140,7763,4,16.0,10,12,MEDIUM,0.0
1140,7763,4,11.0,10,16,TEST_UNKNOWN,9.0
1140,7763,4,55.0,11,16,MEDIUM,0.0
1140,7763,5,22.0,11,27,MEDIUM,0.0
1140,7763,4,24.0,12,12,MEDIUM,16.0
1140,7763,4,63.0,12,14,HARD,0.0
1140,7763,3,44.0,12,16,MEDIUM,17.0
1140,7763,5,16.0,13,14,MEDIUM,3.0
1140,7763,4,1.0,13,15,MEDIUM,0.0
1140,7763,5,14.0,13,19,MEDIUM,0.0
1140,7763,5,24.0,13,21,MEDIUM,0.0
1140,7763,4,10.0,14,14,TEST_UNKNOWN,5.0
1140,7763,3,81.0,14,22,MEDIUM,0.0
1140,7763,4,31.0,15,17,MEDIUM,0.0
1140,7763,5,63.0,15,17,MEDIUM,0.0
1140,7763,6,16.0,15,18,MEDIUM,0.0
1140,7763,3,27.0,15,19,SOFT,0.0
1140,7763,5,10.0,15,19,MEDIUM,0.0
1140,7763,6,4.0,15,23,MEDIUM,0.0
1140,7763,5,1.0,16,18,MEDIUM,3.0
1140,7763,6,2.0,16,22,MEDIUM,0.0
1140,7763,4,20.0,16,23,MEDIUM,0.0
1140,7763,5,11.0,17,17,TEST_UNKNOWN,16.0
1140,7763,5,55.0,17,21,MEDIUM,0.0
1140,7763,4,44.0,17,21,TEST_UNKNOWN,0.0
1140,7763,6,11.0,18,18,MEDIUM,0.0
1140,7763,6,63.0,18,20,MEDIUM,0.0
1140,7763,5,31.0,18,22,MEDIUM,0.0
1140,7763,7,16.0,19,22,MEDIUM,0.0
1140,7763,6,1.0,19,30,MEDIUM,0.0
1140,7763,7,11.0,19,33,MEDIUM,1.0
1140,7763,6,10.0,20,20,MEDIUM,5.0
1140,7763,6,14.0,20,24,MEDIUM,0.0
1140,7763,4,27.0,20,24,SOFT,0.0
1140,7763,7,63.0,21,21,MEDIUM,3.0
1140,7763,7,10.0,21,25,MEDIUM,0.0
1140,7763,6,24.0,22,22,MEDIUM,0.0
1140,7763,5,44.0,22,26,TEST_UNKNOWN,5.0
1140,7763,6,55.0,22,26,MEDIUM,0.0
1140,7763,8,63.0,22,26,MEDIUM,4.0
1140,7763,3,21.0,22,28,MEDIUM,0.0
1140,7763,4,81.0,23,23,MEDIUM,0.0
1140,7763,8,16.0,23,23,MEDIUM,0.0
1140,7763,6,31.0,23,28,MEDIUM,0.0
1140,7763,7,24.0,23,29,TEST_UNKNOWN,0.0
1140,7763,7,2.0,23,29,MEDIUM,0.0
1140,7763,9,16.0,24,27,UNKNOWN,0.0
1140,7763,5,81.0,24,28,MEDIUM,0.0
1140,7763,5,20.0,24,30,MEDIUM,0.0
1140,7763,7,4.0,24,30,MEDIUM,0.0
1140,7763,7,14.0,25,29,MEDIUM,0.0
1140,7763,5,27.0,25,35,MEDIUM,0.0
1140,7763,8,10.0,26,28,MEDIUM,0.0
1140,7763,6,44.0,27,29,MEDIUM,0.0
1140,7763,7,55.0,27,40,MEDIUM,0.0
1140,7763,10,16.0,28,43,MEDIUM,0.0
1140,7763,6,22.0,28,50,HARD,0.0
1140,7763,6,81.0,29,31,MEDIUM,0.0
1140,7763,7,31.0,29,33,MEDIUM,0.0
1140,7763,4,21.0,29,36,MEDIUM,7.0
1140,7763,9,10.0,29,38,MEDIUM,0.0
1140,7763,8,24.0,30,30,TEST_UNKNOWN,0.0
1140,7763,8,14.0,30,34,MEDIUM,0.0
1140,7763,8,2.0,30,36,MEDIUM,7.0
1140,7763,7,44.0,30,37,MEDIUM,0.0
1140,7763,9,24.0,31,33,TEST_UNKNOWN,8.0
1140,7763,6,20.0,31,40,MEDIUM,7.0
1140,7763,8,4.0,31,42,MEDIUM,0.0
1140,7763,7,1.0,31,44,MEDIUM,3.0
1140,7763,7,81.0,32,34,MEDIUM,0.0
1140,7763,8,11.0,34,34,MEDIUM,0.0
1140,7763,8,31.0,34,38,TEST_UNKNOWN,0.0
1140,7763,10,24.0,34,38,MEDIUM,0.0
1140,7763,8,81.0,35,35,MEDIUM,0.0
1140,7763,9,14.0,35,50,MEDIUM,5.0
1140,7763,9,11.0,35,52,MEDIUM,0.0
1140,7763,6,27.0,36,38,MEDIUM,7.0
1140,7763,9,81.0,36,50,MEDIUM,4.0
1140,7763,5,21.0,37,42,MEDIUM,0.0
1140,7763,9,2.0,37,43,TEST_UNKNOWN,0.0
1140,7763,8,44.0,38,38,MEDIUM,0.0
1140,7763,11,24.0,39,40,MEDIUM,5.0
1140,7763,9,44.0,39,41,MEDIUM,1.0
1140,7763,9,31.0,39,46,HARD,0.0
1140,7763,7,27.0,39,48,MEDIUM,7.0
1140,7763,10,10.0,39,52,HARD,0.0
1140,7763,12,24.0,41,43,MEDIUM,0.0
